,value,percentage,datetime
0,477795.703,1,2019-01-01T00:00:00.000+01:00
1,415344.403,1,2019-02-01T00:00:00.000+01:00
2,436816.193,1,2019-03-01T00:00:00.000+01:00
3,446407.913,1,2019-04-01T00:00:00.000+02:00
4,477010.374,1,2019-05-01T00:00:00.000+02:00
5,539722.271,1,2019-06-01T00:00:00.000+02:00
6,719464.877,1,2019-07-01T00:00:00.000+02:00
7,705099.073,1,2019-08-01T00:00:00.000+02:00
8,572623.989,1,2019-09-01T00:00:00.000+02:00
9,490426.996,1,2019-10-01T00:00:00.000+02:00
10,412701.696,1,2019-11-01T00:00:00.000+01:00
11,421812.285,1,2019-12-01T00:00:00.000+01:00
