,value,percentage,datetime
0,4346165.016,1,2019-01-01T00:00:00.000+01:00
1,3805809.279,1,2019-02-01T00:00:00.000+01:00
2,3885658.35,1,2019-03-01T00:00:00.000+01:00
3,3641927.976,1,2019-04-01T00:00:00.000+02:00
4,3724228.479,1,2019-05-01T00:00:00.000+02:00
5,3773188.661,1,2019-06-01T00:00:00.000+02:00
6,4446351.053,1,2019-07-01T00:00:00.000+02:00
7,3978863.274,1,2019-08-01T00:00:00.000+02:00
8,3832204.511,1,2019-09-01T00:00:00.000+02:00
9,3819970.185,1,2019-10-01T00:00:00.000+02:00
10,3912259.315,1,2019-11-01T00:00:00.000+01:00
11,3858858.012,1,2019-12-01T00:00:00.000+01:00
