,value,percentage,datetime,type,magnitude
0,15402.108,0.1042379755922421,2021-01-01T00:00:00.000+01:00,Hidráulica,
1,20891.095,0.19116304592730085,2021-02-01T00:00:00.000+01:00,Hidráulica,
2,17755.933,0.1289102793122252,2021-03-01T00:00:00.000+01:00,Hidráulica,
3,12484.9,0.11947567243380085,2021-04-01T00:00:00.000+02:00,Hidráulica,
4,12626.526,0.18238770633844256,2021-05-01T00:00:00.000+02:00,Hidráulica,
5,10694.393,0.15929420573501224,2021-06-01T00:00:00.000+02:00,Hidráulica,
6,12821.849,0.14654801357268663,2021-07-01T00:00:00.000+02:00,Hidráulica,
7,14016.445,0.1688789720088858,2021-08-01T00:00:00.000+02:00,Hidráulica,
8,6190.632,0.10555017912713628,2021-09-01T00:00:00.000+02:00,Hidráulica,
9,2813.361,0.03877127771142932,2021-10-01T00:00:00.000+02:00,Hidráulica,
10,5796.517,0.03599983658674678,2021-11-01T00:00:00.000+01:00,Hidráulica,
11,9853.422,0.09791881396287727,2021-12-01T00:00:00.000+01:00,Hidráulica,
12,126564.559,0.8565602456420176,2021-01-01T00:00:00.000+01:00,Eólica,
13,80023.713,0.7322534660577698,2021-02-01T00:00:00.000+01:00,Eólica,
14,106078.27,0.7701414177817432,2021-03-01T00:00:00.000+01:00,Eólica,
15,78024.301,0.7466624344730259,2021-04-01T00:00:00.000+02:00,Eólica,
16,39047.666,0.564035922438966,2021-05-01T00:00:00.000+02:00,Eólica,
17,38798.185,0.5779033988684599,2021-06-01T00:00:00.000+02:00,Eólica,
18,55639.61,0.635935918560497,2021-07-01T00:00:00.000+02:00,Eólica,
19,49533.029,0.596805182627002,2021-08-01T00:00:00.000+02:00,Eólica,
20,39129.84,0.6671631622128698,2021-09-01T00:00:00.000+02:00,Eólica,
21,56766.639,0.7823081095577334,2021-10-01T00:00:00.000+02:00,Eólica,
22,147507.567,0.9161101929501119,2021-11-01T00:00:00.000+01:00,Eólica,
23,85890.104,0.8535366814522083,2021-12-01T00:00:00.000+01:00,Eólica,
24,5153.449,0.03487737464753944,2021-01-01T00:00:00.000+01:00,Solar fotovoltaica,
25,7717.789,0.07062128878664413,2021-02-01T00:00:00.000+01:00,Solar fotovoltaica,
26,13143.273,0.09542179470416046,2021-03-01T00:00:00.000+01:00,Solar fotovoltaica,
27,13292.921,0.12720812141742366,2021-04-01T00:00:00.000+02:00,Solar fotovoltaica,
28,16882.492,0.24386430544372265,2021-05-01T00:00:00.000+02:00,Solar fotovoltaica,
29,16963.17,0.25266835545486194,2021-06-01T00:00:00.000+02:00,Solar fotovoltaica,
30,18335.209,0.2095632585744884,2021-07-01T00:00:00.000+02:00,Solar fotovoltaica,
31,18802.174,0.22654045420591315,2021-08-01T00:00:00.000+02:00,Solar fotovoltaica,
32,12635.07,0.21542774659903963,2021-09-01T00:00:00.000+02:00,Solar fotovoltaica,
33,12394.702,0.17081292923034347,2021-10-01T00:00:00.000+02:00,Solar fotovoltaica,
34,7276.071,0.04518875162335714,2021-11-01T00:00:00.000+01:00,Solar fotovoltaica,
35,4184.007,0.04157875335618186,2021-12-01T00:00:00.000+01:00,Solar fotovoltaica,
36,638.97,0.004324404118200894,2021-01-01T00:00:00.000+01:00,Otras renovables,
37,651.574,0.00596219922828531,2021-02-01T00:00:00.000+01:00,Otras renovables,
38,761.214,0.00552650820187124,2021-03-01T00:00:00.000+01:00,Otras renovables,
39,695.302,0.006653771675749634,2021-04-01T00:00:00.000+02:00,Otras renovables,
40,672.357,0.009712065778868727,2021-05-01T00:00:00.000+02:00,Otras renovables,
41,680.36,0.010134039941665967,2021-06-01T00:00:00.000+02:00,Otras renovables,
42,695.811,0.007952809292327858,2021-07-01T00:00:00.000+02:00,Otras renovables,
43,645.334,0.00777539115819898,2021-08-01T00:00:00.000+02:00,Otras renovables,
44,695.538,0.011858912060954378,2021-09-01T00:00:00.000+02:00,Otras renovables,
45,588.318,0.008107683500493778,2021-10-01T00:00:00.000+02:00,Otras renovables,
46,434.937,0.0027012188397842855,2021-11-01T00:00:00.000+01:00,Otras renovables,
47,700.953,0.006965751228732587,2021-12-01T00:00:00.000+01:00,Otras renovables,
48,147759.08599999998,1.0,2021-01-01T00:00:00.000+01:00,Generación renovable,
49,109284.171,1.0,2021-02-01T00:00:00.000+01:00,Generación renovable,
50,137738.69,1.0,2021-03-01T00:00:00.000+01:00,Generación renovable,
51,104497.424,1.0,2021-04-01T00:00:00.000+02:00,Generación renovable,
52,69229.041,1.0,2021-05-01T00:00:00.000+02:00,Generación renovable,
53,67136.108,1.0,2021-06-01T00:00:00.000+02:00,Generación renovable,
54,87492.479,1.0,2021-07-01T00:00:00.000+02:00,Generación renovable,
55,82996.982,1.0,2021-08-01T00:00:00.000+02:00,Generación renovable,
56,58651.079999999994,1.0,2021-09-01T00:00:00.000+02:00,Generación renovable,
57,72563.02,1.0,2021-10-01T00:00:00.000+02:00,Generación renovable,
58,161015.092,1.0,2021-11-01T00:00:00.000+01:00,Generación renovable,
59,100628.486,1.0,2021-12-01T00:00:00.000+01:00,Generación renovable,
