,value,percentage,datetime
0,3806960.159,1,2021-01-01T00:00:00.000+01:00
1,3016830.479,1,2021-02-01T00:00:00.000+01:00
2,3214203.583,1,2021-03-01T00:00:00.000+01:00
3,2944784.896,1,2021-04-01T00:00:00.000+02:00
4,3088142.326,1,2021-05-01T00:00:00.000+02:00
5,3166035.944,1,2021-06-01T00:00:00.000+02:00
6,3688723.186,1,2021-07-01T00:00:00.000+02:00
7,3781782.817,1,2021-08-01T00:00:00.000+02:00
8,3261936.787,1,2021-09-01T00:00:00.000+02:00
9,3062789.782,1,2021-10-01T00:00:00.000+02:00
10,3180304.564,1,2021-11-01T00:00:00.000+01:00
11,3441074.577,1,2021-12-01T00:00:00.000+01:00
