,value,percentage,datetime
0,1694495.593,1,2021-01-01T00:00:00.000+01:00
1,1484968.544,1,2021-02-01T00:00:00.000+01:00
2,1564011.296,1,2021-03-01T00:00:00.000+01:00
3,1426069.727,1,2021-04-01T00:00:00.000+02:00
4,1454054.616,1,2021-05-01T00:00:00.000+02:00
5,1365134.11,1,2021-06-01T00:00:00.000+02:00
6,1369843.94,1,2021-07-01T00:00:00.000+02:00
7,1377124.299,1,2021-08-01T00:00:00.000+02:00
8,1381155.204,1,2021-09-01T00:00:00.000+02:00
9,1418232.566,1,2021-10-01T00:00:00.000+02:00
10,1493168.54,1,2021-11-01T00:00:00.000+01:00
11,1521980.401,1,2021-12-01T00:00:00.000+01:00
