,value,percentage,datetime
0,443553.286,1,2021-01-01T00:00:00.000+01:00
1,410832.434,1,2021-02-01T00:00:00.000+01:00
2,437964.061,1,2021-03-01T00:00:00.000+01:00
3,406589.998,1,2021-04-01T00:00:00.000+02:00
4,426771.793,1,2021-05-01T00:00:00.000+02:00
5,422513.312,1,2021-06-01T00:00:00.000+02:00
6,405159.449,1,2021-07-01T00:00:00.000+02:00
7,391177.128,1,2021-08-01T00:00:00.000+02:00
8,423399.212,1,2021-09-01T00:00:00.000+02:00
9,414220.512,1,2021-10-01T00:00:00.000+02:00
10,437375.677,1,2021-11-01T00:00:00.000+01:00
11,421278.98,1,2021-12-01T00:00:00.000+01:00
