,value,percentage,datetime
0,4205890.778,1,2021-01-01T00:00:00.000+01:00
1,3567341.458,1,2021-02-01T00:00:00.000+01:00
2,3853996.069,1,2021-03-01T00:00:00.000+01:00
3,3484744.509,1,2021-04-01T00:00:00.000+02:00
4,3492614.749,1,2021-05-01T00:00:00.000+02:00
5,3674121.832,1,2021-06-01T00:00:00.000+02:00
6,4078621.766,1,2021-07-01T00:00:00.000+02:00
7,3663381.789,1,2021-08-01T00:00:00.000+02:00
8,3695619.204,1,2021-09-01T00:00:00.000+02:00
9,3493176.901,1,2021-10-01T00:00:00.000+02:00
10,3714667.184,1,2021-11-01T00:00:00.000+01:00
11,3796545.717,1,2021-12-01T00:00:00.000+01:00
