,value,percentage,datetime
0,1267533.707,1,2021-01-01T00:00:00.000+01:00
1,1100679.804,1,2021-02-01T00:00:00.000+01:00
2,1190666.42,1,2021-03-01T00:00:00.000+01:00
3,1076771.526,1,2021-04-01T00:00:00.000+02:00
4,1107577.857,1,2021-05-01T00:00:00.000+02:00
5,1082119.836,1,2021-06-01T00:00:00.000+02:00
6,1195913.925,1,2021-07-01T00:00:00.000+02:00
7,1139478.345,1,2021-08-01T00:00:00.000+02:00
8,1061815.292,1,2021-09-01T00:00:00.000+02:00
9,1074792.045,1,2021-10-01T00:00:00.000+02:00
10,1177942.866,1,2021-11-01T00:00:00.000+01:00
11,1192721.645,1,2021-12-01T00:00:00.000+01:00
