,value,percentage,datetime
0,818569.533,1,2020-01-01T00:00:00.000+01:00
1,753713.456,1,2020-02-01T00:00:00.000+01:00
2,793322.507,1,2020-03-01T00:00:00.000+01:00
3,658828.308,1,2020-04-01T00:00:00.000+02:00
4,673587.975,1,2020-05-01T00:00:00.000+02:00
5,657386.079,1,2020-06-01T00:00:00.000+02:00
6,693685.822,1,2020-07-01T00:00:00.000+02:00
7,670393.413,1,2020-08-01T00:00:00.000+02:00
8,686850.454,1,2020-09-01T00:00:00.000+02:00
9,760044.453,1,2020-10-01T00:00:00.000+02:00
10,746484.147,1,2020-11-01T00:00:00.000+01:00
11,812041.784,1,2020-12-01T00:00:00.000+01:00
