,value,percentage,datetime
0,2508069.037,1,2020-01-01T00:00:00.000+01:00
1,2121198.841,1,2020-02-01T00:00:00.000+01:00
2,2101279.181,1,2020-03-01T00:00:00.000+01:00
3,1658367.752,1,2020-04-01T00:00:00.000+02:00
4,1827469.331,1,2020-05-01T00:00:00.000+02:00
5,1973106.075,1,2020-06-01T00:00:00.000+02:00
6,2517075.658,1,2020-07-01T00:00:00.000+02:00
7,2431482.847,1,2020-08-01T00:00:00.000+02:00
8,2160161.801,1,2020-09-01T00:00:00.000+02:00
9,2092023.643,1,2020-10-01T00:00:00.000+02:00
10,2119833.626,1,2020-11-01T00:00:00.000+01:00
11,2351728.827,1,2020-12-01T00:00:00.000+01:00
