,value,percentage,datetime
0,826921.959,1,2020-01-01T00:00:00.000+01:00
1,710409.485,1,2020-02-01T00:00:00.000+01:00
2,748455.972,1,2020-03-01T00:00:00.000+01:00
3,630962.979,1,2020-04-01T00:00:00.000+02:00
4,700712.044,1,2020-05-01T00:00:00.000+02:00
5,751296.944,1,2020-06-01T00:00:00.000+02:00
6,909611.101,1,2020-07-01T00:00:00.000+02:00
7,904273.955,1,2020-08-01T00:00:00.000+02:00
8,773862.263,1,2020-09-01T00:00:00.000+02:00
9,737168.266,1,2020-10-01T00:00:00.000+02:00
10,714052.423,1,2020-11-01T00:00:00.000+01:00
11,796790.727,1,2020-12-01T00:00:00.000+01:00
