,value,percentage,datetime,type,magnitude
0,34583.391,0.08010788301717488,2019-01-01T00:00:00.000+01:00,Hidráulica,
1,76468.871,0.27308611890584433,2019-02-01T00:00:00.000+01:00,Hidráulica,
2,49043.068,0.14078346747899234,2019-03-01T00:00:00.000+01:00,Hidráulica,
3,42637.727,0.1644819814598942,2019-04-01T00:00:00.000+02:00,Hidráulica,
4,47543.649,0.13479138387290385,2019-05-01T00:00:00.000+02:00,Hidráulica,
5,39882.439,0.14976982952853293,2019-06-01T00:00:00.000+02:00,Hidráulica,
6,23208.688,0.08113454048171582,2019-07-01T00:00:00.000+02:00,Hidráulica,
7,18503.258,0.08159255115152812,2019-08-01T00:00:00.000+02:00,Hidráulica,
8,16581.292,0.06414778311916265,2019-09-01T00:00:00.000+02:00,Hidráulica,
9,14618.967,0.06648013381623029,2019-10-01T00:00:00.000+02:00,Hidráulica,
10,63900.263,0.2328607359725315,2019-11-01T00:00:00.000+01:00,Hidráulica,
11,83446.172,0.27131321248142776,2019-12-01T00:00:00.000+01:00,Hidráulica,
12,353912.097,0.8197908893560798,2019-01-01T00:00:00.000+01:00,Eólica,
13,154589.844,0.55207223499115,2019-02-01T00:00:00.000+01:00,Eólica,
14,243962.759,0.7003216672285214,2019-03-01T00:00:00.000+01:00,Eólica,
15,164283.815,0.6337515931135516,2019-04-01T00:00:00.000+02:00,Eólica,
16,244350.044,0.6927587863557748,2019-05-01T00:00:00.000+02:00,Eólica,
17,166495.685,0.6252383501341611,2019-06-01T00:00:00.000+02:00,Eólica,
18,202234.768,0.7069863221525668,2019-07-01T00:00:00.000+02:00,Eólica,
19,148950.919,0.6568186790442321,2019-08-01T00:00:00.000+02:00,Eólica,
20,190009.621,0.7350872271269508,2019-09-01T00:00:00.000+02:00,Eólica,
21,169036.796,0.7686992396895636,2019-10-01T00:00:00.000+02:00,Eólica,
22,172451.762,0.628436290146096,2019-11-01T00:00:00.000+01:00,Eólica,
23,187314.297,0.6090254644966848,2019-12-01T00:00:00.000+01:00,Eólica,
24,15493.086,0.03588769883390064,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,
25,24400.147,0.08713796029448481,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,
26,31912.266,0.09160763479544047,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,
27,26437.665,0.10198760183376787,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,
28,33237.032,0.09423057828623943,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,
29,35729.624,0.134174835586123,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,
30,35452.331,0.12393671648697631,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,
31,33353.172,0.1470752011605586,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,
32,28806.176,0.11144199924471677,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,
33,21628.533,0.09835631806876317,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,
34,11866.844,0.043244298188744854,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,
35,12812.364,0.041657556638085146,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,
36,27721.636,0.06421352879284462,2019-01-01T00:00:00.000+01:00,Otras renovables,
37,24558.56,0.08770368580852086,2019-02-01T00:00:00.000+01:00,Otras renovables,
38,23440.055,0.06728723049704582,2019-03-01T00:00:00.000+01:00,Otras renovables,
39,25865.096,0.09977882359278636,2019-04-01T00:00:00.000+02:00,Otras renovables,
40,27589.513,0.07821925148508208,2019-05-01T00:00:00.000+02:00,Otras renovables,
41,24183.795,0.09081698475118302,2019-06-01T00:00:00.000+02:00,Otras renovables,
42,25156.095,0.08794242087874116,2019-07-01T00:00:00.000+02:00,Otras renovables,
43,25968.965,0.1145135686436812,2019-08-01T00:00:00.000+02:00,Otras renovables,
44,23088.726,0.08932299050916971,2019-09-01T00:00:00.000+02:00,Otras renovables,
45,14615.487,0.06646430842544306,2019-10-01T00:00:00.000+02:00,Otras renovables,
46,26195.204,0.09545867569262746,2019-11-01T00:00:00.000+01:00,Otras renovables,
47,23991.149,0.0780037663838024,2019-12-01T00:00:00.000+01:00,Otras renovables,
48,431710.21,1.0,2019-01-01T00:00:00.000+01:00,Generación renovable,
49,280017.422,1.0,2019-02-01T00:00:00.000+01:00,Generación renovable,
50,348358.148,1.0,2019-03-01T00:00:00.000+01:00,Generación renovable,
51,259224.303,1.0,2019-04-01T00:00:00.000+02:00,Generación renovable,
52,352720.23799999995,1.0,2019-05-01T00:00:00.000+02:00,Generación renovable,
53,266291.543,1.0,2019-06-01T00:00:00.000+02:00,Generación renovable,
54,286051.882,1.0,2019-07-01T00:00:00.000+02:00,Generación renovable,
55,226776.31399999998,1.0,2019-08-01T00:00:00.000+02:00,Generación renovable,
56,258485.815,1.0,2019-09-01T00:00:00.000+02:00,Generación renovable,
57,219899.783,1.0,2019-10-01T00:00:00.000+02:00,Generación renovable,
58,274414.07300000003,1.0,2019-11-01T00:00:00.000+01:00,Generación renovable,
59,307563.98199999996,1.0,2019-12-01T00:00:00.000+01:00,Generación renovable,
